Region,Grape_Type,Season,Quality_Grade,Weight_kg,Sugar_Content_Brix,Farm_Size_ha,Distance_to_Market_km,Rainfall_mm,Price_TZS_per_kg
Mbeya,Flame Seedless,Wet Season,Grade A,5.08,24.0,17.9,269.8,825.3,5501.36
Arusha,Red Globe,Wet Season,Grade B,2.5,13.8,0.6,203.9,808.4,4387.93
Mbeya,Thompson Seedless,Dry Season,Grade A,3.79,21.7,1.3,45.4,1056.5,5934.44
Arusha,Thompson Seedless,Wet Season,Grade B,7.87,22.4,12.3,298.5,723.7,4641.06
Arusha,Flame Seedless,Wet Season,Grade B,9.44,17.4,18.2,160.5,787.5,4828.15
Mbeya,Red Globe,Wet Season,Grade A,1.19,15.8,5.2,120.6,410.7,4784.33
Singida,Red Globe,Dry Season,Grade A,5.58,16.8,9.7,199.4,727.8,5700.48
Arusha,Thompson Seedless,Wet Season,Grade A,8.88,13.4,9.3,37.1,918.2,5626.95
Arusha,Muscat,Dry Season,Grade B,1.28,23.3,9.7,192.8,412.4,5411.9
Mbeya,Thompson Seedless,Wet Season,Grade B,8.33,16.8,12.6,152.0,624.7,4011.13
Arusha,Red Globe,Dry Season,Grade C,3.9,23.2,9.7,125.0,566.4,5143.84
Arusha,Flame Seedless,Dry Season,Grade A,3.56,11.6,9.2,286.1,433.6,4575.68
Mbeya,Thompson Seedless,Wet Season,Grade B,9.79,24.8,9.7,159.1,783.4,5188.9
Mbeya,Red Globe,Wet Season,Grade B,2.41,16.6,12.0,69.6,545.4,4512.12
Dodoma,Thompson Seedless,Dry Season,Grade A,7.09,10.7,11.0,140.4,994.5,4883.6
Singida,Muscat,Dry Season,Grade C,8.3,10.6,17.2,276.2,1078.3,4883.94
Singida,Thompson Seedless,Wet Season,Grade A,0.89,21.2,1.5,56.9,836.5,5311.4
Arusha,Thompson Seedless,Dry Season,Grade C,6.87,19.9,16.7,68.1,1185.4,5649.66
Singida,Red Globe,Wet Season,Grade B,9.54,22.0,17.0,8.8,760.4,5754.8
Arusha,Red Globe,Wet Season,Grade C,1.68,11.6,6.1,9.2,810.7,4155.74
Dodoma,Red Globe,Wet Season,Grade B,9.01,10.5,9.5,249.7,1191.4,4269.35
Mbeya,Thompson Seedless,Wet Season,Grade A,6.15,17.6,9.1,221.0,585.2,4684.01
Mbeya,Muscat,Dry Season,Grade A,6.36,15.8,4.8,109.7,1154.0,5870.61
Mbeya,Flame Seedless,Wet Season,Grade A,6.32,16.9,8.2,211.0,434.3,4575.35
Singida,Flame Seedless,Dry Season,Grade C,3.34,24.9,1.4,121.6,757.1,4968.57
Dodoma,Red Globe,Wet Season,Grade B,9.38,24.6,5.9,286.1,456.0,5136.89
Singida,Red Globe,Dry Season,Grade A,9.5,24.1,16.4,290.3,983.4,6391.68
Singida,Thompson Seedless,Wet Season,Grade A,6.44,21.8,6.0,120.9,886.7,5617.29
Dodoma,Flame Seedless,Dry Season,Grade B,7.94,15.3,16.5,257.0,965.3,4772.12
Dodoma,Red Globe,Dry Season,Grade A,6.32,16.2,10.9,233.1,699.6,5400.79
Dodoma,Muscat,Wet Season,Grade B,5.1,18.2,17.7,96.4,695.6,5771.88
Dodoma,Muscat,Wet Season,Grade B,6.78,22.5,11.7,73.5,436.3,5701.55
Mbeya,Red Globe,Wet Season,Grade B,5.75,11.0,1.1,140.2,680.0,3794.55
Morogoro,Red Globe,Wet Season,Grade B,6.18,16.4,13.7,235.5,1143.4,4929.29
Morogoro,Flame Seedless,Dry Season,Grade B,7.95,11.2,1.4,288.2,703.4,3848.61
Dodoma,Flame Seedless,Wet Season,Grade C,5.07,17.7,9.3,230.3,1065.1,4064.86
Morogoro,Thompson Seedless,Dry Season,Grade A,0.89,23.5,18.6,257.3,1073.9,6312.55
Morogoro,Flame Seedless,Dry Season,Grade C,2.06,21.7,3.7,182.9,698.6,4184.22
Dodoma,Muscat,Wet Season,Grade A,4.67,13.4,8.1,251.4,905.6,4813.37
Morogoro,Muscat,Dry Season,Grade C,7.39,24.6,14.7,236.4,476.3,5782.93
Singida,Red Globe,Dry Season,Grade B,6.14,20.0,17.7,116.2,482.9,5883.26
Arusha,Flame Seedless,Dry Season,Grade A,6.68,10.2,13.6,167.8,438.9,4465.68
Arusha,Thompson Seedless,Dry Season,Grade A,5.05,13.8,5.5,242.4,864.8,4410.96
Dodoma,Muscat,Wet Season,Grade C,6.35,13.9,13.7,18.6,740.9,5245.37
Mbeya,Muscat,Wet Season,Grade C,3.63,11.0,6.3,243.4,838.4,3560.38
Dodoma,Thompson Seedless,Wet Season,Grade A,4.97,24.4,14.5,57.5,816.9,5597.77
Mbeya,Thompson Seedless,Wet Season,Grade C,7.57,17.2,19.1,156.8,680.2,4771.27
Arusha,Muscat,Dry Season,Grade C,8.78,23.4,14.6,243.4,942.0,5864.71
Dodoma,Muscat,Dry Season,Grade C,4.62,14.8,17.3,79.9,1006.8,5547.57
Singida,Thompson Seedless,Wet Season,Grade B,0.91,11.9,0.5,77.5,411.7,3526.91
Morogoro,Muscat,Wet Season,Grade B,2.04,17.1,14.5,123.8,565.8,4504.31
Mbeya,Red Globe,Wet Season,Grade C,0.7,11.7,16.7,268.9,970.6,3786.31
Morogoro,Red Globe,Dry Season,Grade C,6.71,17.3,1.3,5.1,709.3,5407.69
Morogoro,Thompson Seedless,Wet Season,Grade B,3.66,23.8,17.5,270.9,930.0,4739.91
Dodoma,Flame Seedless,Wet Season,Grade B,5.65,17.8,5.5,50.4,677.6,4569.2
Morogoro,Thompson Seedless,Wet Season,Grade A,5.19,19.2,13.5,297.1,712.6,4542.8
Singida,Thompson Seedless,Dry Season,Grade A,1.27,12.3,16.1,286.7,526.9,4746.6
Morogoro,Flame Seedless,Dry Season,Grade B,4.33,10.7,13.4,150.9,606.6,4348.71
Dodoma,Flame Seedless,Dry Season,Grade C,2.6,11.7,2.3,156.3,884.3,3966.03
Singida,Flame Seedless,Dry Season,Grade C,4.47,19.0,12.1,147.1,746.5,4976.42
Arusha,Red Globe,Dry Season,Grade C,2.43,11.4,11.2,192.5,1019.4,4452.09
Morogoro,Muscat,Dry Season,Grade C,8.48,15.6,18.1,31.8,1082.1,6472.33
Dodoma,Red Globe,Dry Season,Grade A,2.15,18.3,8.4,14.6,833.3,5583.94
Arusha,Muscat,Dry Season,Grade B,9.63,15.8,6.8,22.0,1006.6,6208.77
Arusha,Red Globe,Wet Season,Grade C,4.45,12.5,15.1,136.1,645.5,3827.27
Mbeya,Muscat,Wet Season,Grade A,8.54,14.1,8.5,86.3,732.0,5249.47
Singida,Red Globe,Dry Season,Grade C,6.47,23.9,13.1,188.5,970.2,5479.98
Morogoro,Flame Seedless,Dry Season,Grade B,7.49,20.1,13.1,297.8,709.0,4922.0
Dodoma,Thompson Seedless,Wet Season,Grade A,7.79,17.4,17.8,119.0,870.8,5345.62
Mbeya,Red Globe,Dry Season,Grade B,5.3,10.2,12.2,174.3,548.3,4121.06
Singida,Muscat,Dry Season,Grade B,5.66,24.9,10.3,127.6,879.8,6175.77
Mbeya,Flame Seedless,Dry Season,Grade A,5.38,20.1,3.2,254.9,1089.2,5505.27
Singida,Red Globe,Wet Season,Grade A,6.09,14.8,2.8,271.2,1094.9,4415.27
Singida,Red Globe,Wet Season,Grade A,0.78,23.2,3.5,263.8,979.5,4728.91
Morogoro,Flame Seedless,Wet Season,Grade A,4.26,13.9,3.9,292.4,996.6,3447.26
Singida,Red Globe,Wet Season,Grade A,6.26,18.2,12.9,13.1,846.3,5611.89
Mbeya,Thompson Seedless,Wet Season,Grade A,6.18,19.5,14.9,252.7,867.7,4597.86
Singida,Red Globe,Dry Season,Grade A,8.03,13.3,10.8,226.8,506.9,4959.37
Morogoro,Thompson Seedless,Wet Season,Grade C,6.72,24.7,16.7,72.5,755.1,5024.5
Morogoro,Thompson Seedless,Dry Season,Grade B,9.93,21.2,19.8,287.1,760.6,5127.55
Mbeya,Flame Seedless,Dry Season,Grade A,3.2,18.4,16.5,48.7,1166.8,5749.43
Arusha,Red Globe,Wet Season,Grade C,3.91,12.7,14.1,205.5,744.9,3214.7
Arusha,Flame Seedless,Wet Season,Grade C,4.15,10.8,10.9,71.3,839.5,3886.04
Singida,Red Globe,Dry Season,Grade C,4.93,14.8,9.3,132.3,826.6,5058.75
Dodoma,Red Globe,Dry Season,Grade B,8.44,21.3,2.1,217.2,909.4,5352.08
Singida,Muscat,Dry Season,Grade A,2.74,14.0,8.3,171.2,998.6,5628.97
Mbeya,Red Globe,Wet Season,Grade C,7.87,18.1,18.2,131.1,580.0,4703.04
Mbeya,Flame Seedless,Wet Season,Grade B,4.35,20.9,16.3,101.3,823.0,5396.74
Mbeya,Thompson Seedless,Wet Season,Grade B,6.22,11.6,4.7,252.7,1060.7,3234.94
Mbeya,Red Globe,Wet Season,Grade B,6.51,20.3,9.6,47.4,770.5,5160.2
Mbeya,Muscat,Wet Season,Grade C,4.04,11.4,16.4,131.9,622.8,3741.11
Morogoro,Flame Seedless,Dry Season,Grade A,5.37,24.5,1.8,271.6,923.8,5720.3
Arusha,Red Globe,Wet Season,Grade C,4.42,17.3,8.1,254.5,1059.0,4089.81
Mbeya,Flame Seedless,Dry Season,Grade C,1.16,12.3,17.1,123.3,450.5,4200.25
Dodoma,Muscat,Dry Season,Grade A,4.65,15.1,8.4,230.1,1021.4,5774.84
Dodoma,Muscat,Dry Season,Grade A,1.43,16.2,2.0,247.8,1057.3,5789.96
Dodoma,Flame Seedless,Wet Season,Grade A,4.35,21.4,11.1,267.2,769.2,4995.94
Dodoma,Red Globe,Wet Season,Grade B,6.13,21.2,17.3,165.6,1186.6,5594.15
Morogoro,Thompson Seedless,Wet Season,Grade A,6.0,19.2,12.0,65.3,1029.4,5175.14
Dodoma,Muscat,Dry Season,Grade C,6.79,11.6,4.9,80.3,1018.9,5492.0
Mbeya,Red Globe,Dry Season,Grade A,1.4,12.3,8.0,92.2,998.3,5219.84
Singida,Red Globe,Dry Season,Grade C,6.7,11.4,9.3,180.2,520.5,4153.19
Dodoma,Thompson Seedless,Dry Season,Grade B,3.47,18.7,11.8,14.7,573.8,5429.55
Morogoro,Muscat,Dry Season,Grade C,4.29,23.2,15.3,192.6,771.2,5774.88
Morogoro,Muscat,Dry Season,Grade C,8.65,16.5,2.4,112.5,611.2,4947.04
Dodoma,Red Globe,Wet Season,Grade A,0.59,12.4,17.8,92.1,732.2,4815.32
Singida,Red Globe,Wet Season,Grade A,6.09,18.4,0.7,264.5,1110.8,5398.87
Dodoma,Thompson Seedless,Wet Season,Grade C,6.19,22.2,7.7,140.7,1059.5,4206.65
Morogoro,Thompson Seedless,Wet Season,Grade A,4.27,21.1,1.0,33.0,904.0,5820.07
Arusha,Muscat,Dry Season,Grade B,2.75,23.2,8.2,248.9,1086.5,5681.54
Mbeya,Flame Seedless,Dry Season,Grade B,2.73,14.2,10.8,19.1,1027.0,4443.37
Morogoro,Muscat,Wet Season,Grade A,8.9,12.9,10.5,219.4,743.2,4690.38
Dodoma,Red Globe,Dry Season,Grade B,4.7,23.2,3.7,233.3,560.9,4956.51
Mbeya,Muscat,Wet Season,Grade A,3.64,19.9,13.1,109.0,811.4,5627.52
Dodoma,Flame Seedless,Wet Season,Grade C,4.76,14.7,1.4,248.3,989.0,3460.19
Dodoma,Thompson Seedless,Wet Season,Grade C,6.86,21.1,15.4,157.1,749.1,3731.21
Arusha,Flame Seedless,Dry Season,Grade B,1.88,22.2,19.0,141.7,933.4,5547.64
Mbeya,Flame Seedless,Wet Season,Grade A,4.77,19.2,7.1,18.4,475.5,4882.52
Mbeya,Flame Seedless,Wet Season,Grade A,6.08,20.3,10.6,90.6,998.4,5884.56
Arusha,Thompson Seedless,Wet Season,Grade B,9.51,15.6,7.9,279.6,1050.2,4086.75
Morogoro,Flame Seedless,Dry Season,Grade C,2.9,18.1,0.6,120.6,965.5,4908.8
Dodoma,Flame Seedless,Dry Season,Grade B,3.91,17.9,8.0,166.3,1173.8,5408.6
Singida,Flame Seedless,Wet Season,Grade C,4.1,22.7,15.9,161.9,1061.3,5008.93
Dodoma,Red Globe,Dry Season,Grade A,6.25,22.6,12.1,179.2,1122.5,6216.23
Dodoma,Flame Seedless,Dry Season,Grade C,3.89,22.5,2.5,23.1,1146.9,5274.89
Morogoro,Thompson Seedless,Dry Season,Grade B,5.57,10.2,17.0,111.8,1041.1,4752.16
Dodoma,Flame Seedless,Dry Season,Grade A,7.93,21.2,10.9,218.3,939.4,6016.17
Arusha,Flame Seedless,Dry Season,Grade B,7.2,21.4,16.9,64.2,404.6,5466.49
Arusha,Thompson Seedless,Dry Season,Grade B,4.74,20.2,11.8,65.1,772.7,5444.27
Mbeya,Flame Seedless,Dry Season,Grade C,8.71,21.3,11.4,8.0,856.9,5754.03
Singida,Thompson Seedless,Dry Season,Grade B,5.8,22.6,2.6,134.1,643.2,4997.83
Dodoma,Flame Seedless,Dry Season,Grade C,5.63,17.1,3.8,265.4,654.5,3866.12
Dodoma,Thompson Seedless,Dry Season,Grade A,0.82,17.5,19.5,20.3,1168.9,6007.07
Morogoro,Flame Seedless,Wet Season,Grade C,9.87,11.9,5.0,61.4,1113.4,4210.25
Arusha,Flame Seedless,Wet Season,Grade A,1.67,15.8,19.6,96.5,1079.3,5219.82
Singida,Red Globe,Dry Season,Grade C,2.7,19.7,10.9,220.9,724.8,5030.27
Mbeya,Red Globe,Wet Season,Grade B,0.99,21.7,3.1,194.0,411.0,4041.28
Arusha,Flame Seedless,Wet Season,Grade C,6.58,13.3,2.4,127.7,464.2,3346.37
Mbeya,Flame Seedless,Dry Season,Grade C,2.63,12.1,4.6,228.9,649.8,3438.47
Morogoro,Muscat,Dry Season,Grade A,2.21,19.9,18.5,184.8,412.6,6448.13
Morogoro,Thompson Seedless,Dry Season,Grade B,1.34,10.0,8.6,269.3,413.7,3601.87
Dodoma,Muscat,Wet Season,Grade C,1.48,12.7,8.2,246.3,1133.3,3986.59
Singida,Red Globe,Wet Season,Grade B,6.05,10.4,6.6,79.6,964.9,4427.48
Mbeya,Red Globe,Dry Season,Grade C,7.04,12.5,3.4,85.1,647.2,4473.6
Arusha,Red Globe,Dry Season,Grade C,4.28,12.7,10.0,42.0,506.1,5226.33
Morogoro,Red Globe,Dry Season,Grade B,5.06,15.8,3.0,104.4,809.3,5291.76
Dodoma,Flame Seedless,Wet Season,Grade C,7.02,16.0,16.8,299.9,404.3,3581.33
Dodoma,Red Globe,Wet Season,Grade B,0.67,23.1,7.7,124.7,1150.7,4805.17
Mbeya,Flame Seedless,Wet Season,Grade C,3.57,17.7,7.8,70.0,731.9,3857.87
Morogoro,Flame Seedless,Wet Season,Grade A,9.74,20.9,9.7,229.9,721.9,5031.58
Singida,Red Globe,Dry Season,Grade B,6.01,11.6,9.2,165.0,712.5,4563.75
Morogoro,Red Globe,Dry Season,Grade C,2.92,13.4,19.9,49.1,455.5,4576.22
Mbeya,Thompson Seedless,Dry Season,Grade C,5.46,20.5,11.1,117.3,910.7,5027.16
Mbeya,Muscat,Dry Season,Grade A,3.76,10.8,2.2,127.3,986.4,5442.37
Morogoro,Red Globe,Wet Season,Grade B,5.56,17.3,12.3,227.4,940.9,4638.79
Mbeya,Thompson Seedless,Wet Season,Grade C,1.69,19.0,3.5,11.1,510.7,4045.37
Morogoro,Thompson Seedless,Dry Season,Grade A,1.76,19.0,1.1,84.4,863.1,5206.07
Arusha,Muscat,Dry Season,Grade C,1.86,10.3,19.4,157.7,855.6,4467.82
Morogoro,Flame Seedless,Wet Season,Grade B,9.43,14.8,15.6,84.3,1094.7,5225.84
Morogoro,Red Globe,Dry Season,Grade C,7.46,19.5,19.6,190.4,703.3,4929.92
Mbeya,Muscat,Wet Season,Grade C,2.04,12.2,9.8,147.2,697.2,4189.95
Mbeya,Red Globe,Dry Season,Grade C,2.29,20.4,10.9,111.7,894.8,5432.66
Dodoma,Thompson Seedless,Dry Season,Grade C,7.44,21.2,3.8,285.0,906.5,4605.87
Dodoma,Thompson Seedless,Dry Season,Grade A,1.98,24.7,5.3,191.5,775.4,6224.55
Arusha,Flame Seedless,Dry Season,Grade A,2.73,13.1,16.9,43.3,754.4,5620.32
Dodoma,Thompson Seedless,Dry Season,Grade B,9.65,22.4,7.4,170.2,795.3,6062.42
Morogoro,Thompson Seedless,Dry Season,Grade A,2.93,17.8,16.6,235.3,1088.8,5245.68
Mbeya,Muscat,Dry Season,Grade A,6.79,15.6,14.3,214.0,768.9,5725.77
Dodoma,Red Globe,Wet Season,Grade B,9.8,11.8,4.0,55.8,1151.9,4980.81
Dodoma,Red Globe,Wet Season,Grade A,4.06,21.0,10.4,291.9,803.2,4938.46
Arusha,Muscat,Wet Season,Grade A,0.67,13.5,13.7,137.4,1159.4,5760.7
Arusha,Flame Seedless,Wet Season,Grade B,2.82,15.6,5.1,51.9,1066.3,4570.96
Morogoro,Red Globe,Wet Season,Grade B,8.39,10.9,16.7,58.2,689.9,4382.48
Mbeya,Thompson Seedless,Dry Season,Grade B,8.71,22.0,11.1,34.0,1090.9,5539.91
Arusha,Red Globe,Dry Season,Grade C,7.8,21.5,3.7,242.0,488.1,4878.58
Dodoma,Thompson Seedless,Wet Season,Grade C,1.57,21.0,11.9,41.0,1140.0,4716.76
Mbeya,Flame Seedless,Dry Season,Grade B,8.06,14.5,20.0,41.9,905.3,5584.08
Mbeya,Muscat,Wet Season,Grade B,9.23,12.6,3.4,255.9,443.5,4554.76
Dodoma,Red Globe,Wet Season,Grade B,6.21,19.6,16.4,106.7,915.4,5567.83
Arusha,Muscat,Dry Season,Grade C,9.44,17.4,4.5,14.1,1179.4,5827.73
Dodoma,Red Globe,Dry Season,Grade C,8.35,12.7,15.8,20.3,455.8,4728.35
Mbeya,Thompson Seedless,Dry Season,Grade A,6.84,20.3,14.8,46.9,843.8,5872.96
Singida,Muscat,Wet Season,Grade A,5.98,24.9,6.4,68.0,998.2,6193.06
Singida,Red Globe,Dry Season,Grade B,3.81,21.2,6.9,201.2,1048.2,5334.98
Morogoro,Thompson Seedless,Wet Season,Grade C,2.01,21.1,16.0,51.4,731.1,4711.37
Dodoma,Muscat,Wet Season,Grade C,6.25,24.3,9.5,40.1,563.3,5267.56
Dodoma,Muscat,Wet Season,Grade C,3.52,13.0,14.8,230.6,433.9,4021.27
Morogoro,Red Globe,Dry Season,Grade B,8.73,18.5,3.4,203.0,863.8,5416.01
Morogoro,Red Globe,Dry Season,Grade A,9.94,24.7,17.1,133.4,762.3,6838.95
Morogoro,Red Globe,Wet Season,Grade B,7.65,12.5,14.4,167.0,1159.0,4310.41
Mbeya,Thompson Seedless,Dry Season,Grade A,1.36,20.5,18.2,97.0,448.5,5845.6
Dodoma,Red Globe,Dry Season,Grade A,3.24,18.8,3.1,147.3,948.3,6384.63
Mbeya,Muscat,Dry Season,Grade B,1.54,18.8,12.1,154.5,420.0,5443.27
Morogoro,Muscat,Wet Season,Grade A,6.68,20.5,12.2,119.2,537.1,4943.03
Dodoma,Red Globe,Wet Season,Grade A,7.77,23.9,7.4,272.4,762.9,5785.01
Mbeya,Red Globe,Dry Season,Grade C,9.29,21.7,9.4,9.7,763.9,5730.53
Mbeya,Flame Seedless,Wet Season,Grade A,4.66,10.8,1.2,235.7,948.6,4667.91
Morogoro,Muscat,Dry Season,Grade B,9.06,22.8,15.0,41.7,1128.2,6850.91
Dodoma,Thompson Seedless,Dry Season,Grade B,8.84,13.4,11.2,240.3,911.2,4167.29
Morogoro,Flame Seedless,Dry Season,Grade A,3.51,15.7,1.6,186.7,1162.8,4565.39
Dodoma,Red Globe,Dry Season,Grade C,8.75,16.9,13.8,253.8,1105.3,5518.67
Singida,Red Globe,Wet Season,Grade C,4.07,17.2,9.6,33.8,867.6,5035.67
Arusha,Muscat,Wet Season,Grade A,3.32,16.5,1.2,169.9,1067.0,5901.61
Arusha,Red Globe,Wet Season,Grade A,6.67,24.1,19.4,152.8,914.1,6051.43
Arusha,Thompson Seedless,Dry Season,Grade B,3.62,20.6,19.0,213.3,462.8,4983.54
Morogoro,Muscat,Dry Season,Grade A,6.49,19.5,10.5,162.6,992.5,6288.13
Singida,Red Globe,Dry Season,Grade C,6.29,10.7,2.3,164.5,475.9,3963.46
Dodoma,Muscat,Wet Season,Grade A,5.85,23.6,15.2,131.7,875.3,6109.32
Mbeya,Red Globe,Dry Season,Grade B,4.11,23.6,10.1,96.1,962.1,6053.49
Dodoma,Red Globe,Wet Season,Grade B,5.71,21.7,6.4,147.3,453.2,4581.03
Mbeya,Red Globe,Wet Season,Grade B,6.17,10.1,10.1,40.0,584.6,3890.01
Dodoma,Thompson Seedless,Wet Season,Grade B,5.68,10.9,10.7,288.6,1132.5,3718.41
Singida,Thompson Seedless,Wet Season,Grade B,4.72,13.4,11.5,215.8,893.1,3677.29
Mbeya,Muscat,Wet Season,Grade A,0.64,12.0,9.1,286.0,597.0,3342.67
Morogoro,Red Globe,Wet Season,Grade A,6.08,16.0,12.3,71.9,952.5,5656.32
Dodoma,Red Globe,Dry Season,Grade A,2.1,23.8,18.4,264.4,877.4,5690.08
Dodoma,Thompson Seedless,Dry Season,Grade A,6.6,17.1,7.6,243.6,801.3,5418.39
Mbeya,Red Globe,Wet Season,Grade B,7.71,10.2,14.7,204.8,1180.9,4562.9
Morogoro,Thompson Seedless,Wet Season,Grade C,5.25,14.2,17.9,189.4,946.8,4046.78
Morogoro,Red Globe,Dry Season,Grade A,5.65,10.7,9.4,98.4,700.4,6130.55
Singida,Muscat,Wet Season,Grade C,9.54,10.5,9.1,245.8,1040.1,4140.23
Morogoro,Red Globe,Wet Season,Grade A,8.55,14.1,12.2,152.9,1107.7,5208.96
Morogoro,Red Globe,Dry Season,Grade A,9.19,14.1,12.0,25.9,500.2,6205.0
Morogoro,Flame Seedless,Wet Season,Grade C,8.23,21.8,16.2,97.3,560.4,4751.17
Arusha,Thompson Seedless,Wet Season,Grade B,1.53,24.6,9.8,280.9,573.0,4632.45
Singida,Red Globe,Wet Season,Grade A,1.92,15.6,19.9,256.0,953.0,4469.86
Dodoma,Red Globe,Dry Season,Grade A,5.5,16.4,1.7,294.7,882.4,4802.45
Mbeya,Flame Seedless,Dry Season,Grade A,2.84,22.7,0.6,190.3,895.2,5776.44
